Part,Operator,Height
1,1,9.347
1,1,9.23
1,1,9.202
1,2,9.365
1,2,9.423
1,2,9.375
1,3,9.365
1,3,9.439
1,3,9.423
2,1,8.73
2,1,8.687
2,1,8.781
2,2,8.755
2,2,8.768
2,2,8.755
2,3,8.783
2,3,8.811
2,3,8.783
3,1,8.918
3,1,8.707
3,1,8.918
3,2,8.943
3,2,8.964
3,2,8.943
3,3,8.943
3,3,8.969
3,3,8.943
4,1,9.014
4,1,9.147
4,1,9.19
4,2,9.192
4,2,9.215
4,2,9.154
4,3,9.19
4,3,9.248
4,3,9.192
5,1,9.02
5,1,9.035
5,1,9.017
5,2,9.035
5,2,9.045
5,2,9.045
5,3,9.093
5,3,9.065
5,3,9.091
6,1,8.786
6,1,8.793
6,1,8.832
6,2,8.816
6,2,8.88
6,2,8.885
6,3,8.834
6,3,8.872
6,3,8.827
7,1,8.763
7,1,8.633
7,1,8.682
7,2,8.715
7,2,8.715
7,2,8.73
7,3,8.717
7,3,8.819
7,3,8.74
8,1,8.806
8,1,8.707
8,1,8.809
8,2,8.837
8,2,8.847
8,2,8.852
8,3,8.862
8,3,8.885
8,3,8.839
9,1,8.816
9,1,8.809
9,1,8.819
9,2,8.819
9,2,8.829
9,2,8.819
9,3,8.834
9,3,8.839
9,3,8.832
10,1,8.971
10,1,9.037
10,1,8.984
10,2,8.981
10,2,8.994
10,2,8.999
10,3,9.114
10,3,9.045
10,3,9.027
