,PtType,Block,Ht,Theta0,Ra,Rc,Toss
7,1,1,1.0,1.0,1.0,1.0,2.515
9,0,1,0.0,0.0,0.0,0.0,1.437
16,2,2,0.0,0.0,2.0,0.0,1.653
21,0,2,0.0,0.0,0.0,0.0,1.429
4,1,1,-1.0,-1.0,1.0,1.0,0.715
18,2,2,0.0,0.0,0.0,2.0,1.569
11,2,2,-2.0,0.0,0.0,0.0,1.081
6,1,1,-1.0,1.0,1.0,-1.0,3.386
15,2,2,0.0,0.0,-2.0,0.0,1.125
1,1,1,1.0,-1.0,-1.0,1.0,0.811
5,1,1,1.0,-1.0,1.0,-1.0,1.039
19,0,2,0.0,0.0,0.0,0.0,1.402
14,2,2,0.0,2.0,0.0,0.0,1.318
8,0,1,0.0,0.0,0.0,0.0,1.349
13,2,2,0.0,-2.0,0.0,0.0,-0.045
2,1,1,-1.0,1.0,-1.0,1.0,1.279
17,2,2,0.0,0.0,0.0,-2.0,1.153
12,2,2,2.0,0.0,0.0,0.0,1.712
3,1,1,1.0,1.0,-1.0,-1.0,1.395
20,0,2,0.0,0.0,0.0,0.0,1.413
0,1,1,-1.0,-1.0,-1.0,-1.0,0.262
10,0,1,0.0,0.0,0.0,0.0,1.439
